               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.026068,            0.010061,           0.0083675,             0.64216,             0.79596,             0.72528,             0.46349,            0.027308,           0.0052904,            0.011108,            0.002872,            0.002872,            0.002872
                 110,            0.024341,             0.01009,           0.0098651,             0.85247,             0.68012,             0.75529,             0.47808,            0.027384,           0.0052923,           0.0090943,            0.002806,            0.002806,            0.002806
                 111,            0.027793,            0.010884,           0.0096661,             0.73826,             0.71616,             0.74422,             0.48072,            0.027082,           0.0053712,            0.009667,             0.00274,             0.00274,             0.00274
                 112,            0.023477,            0.010135,            0.010267,             0.91627,             0.66672,             0.73354,             0.46374,            0.027456,            0.005446,             0.01094,            0.002674,            0.002674,            0.002674
                 113,            0.024805,            0.010015,            0.010924,             0.80754,             0.65961,             0.71628,             0.44659,            0.027586,           0.0054949,            0.011117,            0.002608,            0.002608,            0.002608
                 114,            0.024361,           0.0099774,           0.0095612,             0.56856,             0.74952,             0.67855,             0.43499,            0.026823,           0.0054168,            0.013074,            0.002542,            0.002542,            0.002542
                 115,             0.02432,           0.0099954,           0.0091614,              0.6359,             0.74883,             0.68933,              0.4424,            0.027233,            0.005383,            0.010764,            0.002476,            0.002476,            0.002476
                 116,            0.023681,            0.010303,           0.0085318,             0.65779,             0.77273,             0.69357,             0.42065,            0.027187,            0.005482,            0.010219,             0.00241,             0.00241,             0.00241
                 117,            0.022447,            0.010004,           0.0073812,             0.61576,             0.77273,             0.64189,             0.40702,             0.02777,            0.005601,            0.010347,            0.002344,            0.002344,            0.002344
                 118,            0.025008,            0.010835,            0.010158,             0.68573,             0.63536,              0.6645,             0.42212,            0.028505,           0.0057279,           0.0096258,            0.002278,            0.002278,            0.002278
                 119,             0.02612,            0.010596,            0.010246,               0.763,             0.61515,             0.66598,             0.40146,            0.028968,           0.0058696,           0.0099418,            0.002212,            0.002212,            0.002212
                 120,            0.023549,           0.0095511,            0.010611,             0.64322,             0.70505,             0.67272,             0.42589,            0.026945,           0.0057714,           0.0096694,            0.002146,            0.002146,            0.002146
                 121,            0.022369,            0.009558,           0.0076777,             0.68957,             0.71423,             0.71406,             0.45686,            0.026705,           0.0056927,           0.0095713,             0.00208,             0.00208,             0.00208
                 122,            0.024502,            0.010628,           0.0091615,             0.68932,             0.71026,             0.70548,             0.46212,            0.026584,            0.005687,           0.0096411,            0.002014,            0.002014,            0.002014
                 123,            0.023176,           0.0094832,           0.0085413,             0.64759,             0.71374,             0.72069,             0.47477,            0.026698,           0.0057446,           0.0098428,            0.001948,            0.001948,            0.001948
                 124,            0.023348,            0.010553,            0.010697,             0.68536,             0.70505,             0.72429,              0.4713,            0.026884,           0.0057286,           0.0097341,            0.001882,            0.001882,            0.001882
                 125,            0.023574,           0.0098309,           0.0092082,             0.63622,             0.76162,             0.72777,             0.48257,            0.026743,           0.0057588,            0.009531,            0.001816,            0.001816,            0.001816
                 126,            0.022435,           0.0094781,           0.0088869,             0.65176,             0.80623,             0.72645,             0.47114,            0.026801,           0.0057842,           0.0091917,             0.00175,             0.00175,             0.00175
                 127,            0.022945,            0.010819,           0.0069885,             0.67231,             0.80674,             0.73904,             0.48126,             0.02731,           0.0056385,            0.008965,            0.001684,            0.001684,            0.001684
                 128,            0.022796,           0.0093702,           0.0092606,             0.66371,              0.7999,             0.73138,             0.46106,            0.027352,           0.0055605,           0.0092573,            0.001618,            0.001618,            0.001618
                 129,            0.023511,           0.0092185,           0.0059944,              0.6607,             0.77617,             0.71514,             0.44721,            0.026586,           0.0055888,            0.010043,            0.001552,            0.001552,            0.001552
                 130,            0.023513,           0.0090933,           0.0059465,             0.66074,             0.77712,             0.71874,             0.46216,            0.026318,           0.0055109,            0.010251,            0.001486,            0.001486,            0.001486
                 131,            0.023015,           0.0091902,           0.0082205,             0.67325,             0.80707,             0.72093,             0.47008,            0.026326,           0.0054504,           0.0096783,             0.00142,             0.00142,             0.00142
                 132,             0.02254,            0.010085,           0.0078511,             0.68486,             0.80707,             0.73294,             0.47627,            0.026554,            0.005439,           0.0098197,            0.001354,            0.001354,            0.001354
                 133,            0.023124,           0.0097303,           0.0073479,               0.688,             0.80707,             0.72163,             0.45888,            0.027035,           0.0055448,            0.010032,            0.001288,            0.001288,            0.001288
                 134,            0.021884,           0.0099011,           0.0068036,             0.66349,             0.79504,             0.72134,             0.47242,            0.026209,           0.0054858,            0.010304,            0.001222,            0.001222,            0.001222
                 135,            0.022803,           0.0095701,           0.0093004,             0.61914,             0.80216,             0.71386,             0.46904,            0.025855,           0.0054585,            0.010541,            0.001156,            0.001156,            0.001156
                 136,            0.020932,           0.0090406,           0.0073775,             0.63404,             0.85137,              0.7478,             0.48481,            0.025595,           0.0053755,            0.010917,             0.00109,             0.00109,             0.00109
                 137,            0.021625,           0.0094729,           0.0060445,             0.72893,             0.75038,             0.74898,             0.47482,            0.025597,            0.005342,            0.011244,            0.001024,            0.001024,            0.001024
                 138,            0.023331,           0.0095381,           0.0069084,             0.72923,             0.74553,             0.74652,             0.48078,            0.025297,           0.0053288,            0.011499,            0.000958,            0.000958,            0.000958
                 139,            0.021515,           0.0090385,           0.0070959,             0.70139,             0.74066,             0.73943,             0.47353,            0.025371,           0.0053017,            0.011542,            0.000892,            0.000892,            0.000892
                 140,            0.021049,           0.0094778,           0.0065492,             0.69414,             0.74948,             0.72844,             0.46453,            0.025638,           0.0053315,            0.011807,            0.000826,            0.000826,            0.000826
                 141,            0.020408,           0.0081368,            0.008861,             0.66572,             0.75051,             0.70882,             0.46968,            0.025674,           0.0053097,            0.012007,             0.00076,             0.00076,             0.00076
                 142,            0.021868,           0.0094911,           0.0063783,             0.66511,             0.75051,             0.71012,             0.47291,            0.025933,           0.0053134,            0.011931,            0.000694,            0.000694,            0.000694
                 143,            0.022394,           0.0094297,           0.0051862,             0.64797,             0.75051,             0.71999,             0.45606,            0.026368,            0.005378,            0.012127,            0.000628,            0.000628,            0.000628
                 144,            0.021142,            0.009612,            0.004865,             0.70945,              0.6825,             0.71776,             0.46111,            0.026307,           0.0053918,            0.012186,            0.000562,            0.000562,            0.000562
                 145,            0.021826,            0.009273,           0.0068594,             0.62731,             0.79596,             0.71683,             0.45461,            0.026316,            0.005411,             0.01234,            0.000496,            0.000496,            0.000496
                 146,            0.021721,           0.0092882,           0.0057315,             0.62684,             0.79596,             0.71924,             0.45766,            0.026436,           0.0054079,            0.012441,             0.00043,             0.00043,             0.00043
                 147,             0.02121,           0.0092449,           0.0084602,             0.62555,             0.79417,             0.71909,             0.45995,             0.02659,           0.0054174,            0.012471,            0.000364,            0.000364,            0.000364
                 148,            0.021471,           0.0096556,           0.0058989,             0.62736,             0.84141,             0.72182,             0.45566,            0.026593,           0.0054049,            0.012508,            0.000298,            0.000298,            0.000298
                 149,            0.020699,           0.0083568,           0.0059375,             0.62022,             0.84141,             0.72874,               0.462,            0.026584,            0.005413,            0.012487,            0.000232,            0.000232,            0.000232
